Subject_ID,probe,Block1 (S1),Filter Used for Block 1 (S1),Block2 (S1),Filter Used for Block 2 (S1),Block1 (S2),Filter Used for Block 1 (S2),Block2 (S2),Filter Used for Block 2 (S2),Block1 (S3),Filter Used for Block 1 (S3),Block2 (S3),Filter Used for Block 2 (S3)
NC301,CCHUNB6A,1084.0,0.3,2103.0,0.3,,,,,,,,
NC301,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC302,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC302,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC303,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC305,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC306,CCHUNB6A,1084.0,0.1,2103,0.2,,,,,,,,
NC307,CCHUNB6A,1084.0,0.5,2103,0.6,,,,,,,,
NC308,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC308,CCHUNB6A,1084.0,0.6,2103,0.6,,,,,,,,
NC309,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC309,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC310,CCHUNB6A,1084.0,0.3,2103,0.3,1084,0.5,2103,0.5,,,,
NC311,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC311,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC312,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC313,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC313,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC314,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC314,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC315,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC316,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC316,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC317,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC317,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC318,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC319,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC319,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC320,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC320,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC321,CCHUNB6A,1084.0,0.5,2102,0.5,,,,,,,,
NC322,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC322,CCHUNB6A,1084.0,0.5,2103,0.6,,,,,,,,
NC323,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC324,CCHUNB6A,1084.0,0.4,2103.0,0.5,,,,,,,,
NC324,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC324,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC325,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC326,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC327,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC327,CCHUNB6A,1084.0,0.2,2103,0.3,,,,,,,,
NC328,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC329,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC330,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC331,CCHUNB6A,1084.0,0.2,2103,0.3,,,,,,,,
NC331,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC332,CCHUNB6A,1084.0,0.4,2102,0.4,,,,,,,,
NC333,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC333,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC334,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC334,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC335,CCHUNB6A,1084.0,0.3,2103,"0.5Good for AB, 0.3GOOD FOR CD",1084,0.4 nd,2103,0.4 nd,,,,
NC336,CCHUNB6A,1084.0,0.3,2103,0.3,1084,0.4,2103,0.4,,,,
NC337,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC338,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC338,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC339,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC340,CCHUNB6A,1084.0,0.5,2103,0.6,,,,,,,,
NC340,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC341,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC341,CCHUNB6A,1084.0,0.4,2103,,,,,,,,,
NC342,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC342,CCHUNB6A,1084.0,0.5,2103,0.6,,,,,,,,
NC343,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC343,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC344,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC344,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC345,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC346,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC346,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC347,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC348,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC349,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC349,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC350,CCHUNB6A,1084.0,0.3,2103,0.4,1084,0.6,2103,0.7,,,,
NC351,CCHUNB6A,1084.0,0.4,2103,0.5 nd,,,,,,,,
NC351,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC352,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC353,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC353,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC354,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC355,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC356,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC357,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC358,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC359,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC360,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC360,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC360,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC361,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC362,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC363,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC363,CCHUNB6A,1084.0,0.4,2103,0.4,,,,,,,,
NC364,CCHUNB6A,1084.0,0.5,2103,0.5,,,,,,,,
NC365,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC365,CCHUNB6A,1084.0,0.3,2103.0,0.3,,,,,,,,
NC365,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC366,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC366,CCHUNB6A,1084.0,0.4,2103,0.5,,,,,,,,
NC367,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC368,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC370,CCHUNB6A,1084.0,0.2,2103,0.2,,,,,,,,
NC371,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
NC372,CCHUNB6A,1084.0,0.3,2103,0.4,,,,,,,,
NC372,CCHUNB6A,1084.0,0.3,2103,0.3 (good for ABC); 0.1 (good for D),,,,,,,,
NC373,CCHUNB6A,1084.0,0.3,2103,0.3,,,,,,,,
